Customer ID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region
BS-11590,Brendan Sweed,Corporate,45,US,Gilbert,Arizona,85234,West
TS-21610,Troy Staebel,Consumer,33,US,Phoenix,Arizona,85023,West
TW-21025,Tamara Willingham,Home Office,61,US,Scottsdale,Arizona,85254,West
AG-10900,Arthur Gainer,Consumer,56,US,Tucson,Arizona,85705,West
TN-21040,Tanja Norvell,Home Office,37,US,Phoenix,Arizona,85023,West
AA-10375,Allen Armold,Consumer,22,US,Mesa,Arizona,85204,West
JA-15970,Joseph Airdo,Consumer,56,US,Phoenix,Arizona,85023,West
MT-17815,Meg Tillman,Consumer,58,US,Scottsdale,Arizona,85254,West
MS-17710,Maurice Satty,Consumer,46,US,Mesa,Arizona,85204,West
AB-10600,Ann Blume,Corporate,34,US,Tucson,Arizona,85705,West
AB-10105,Adrian Barton,Consumer,63,US,Phoenix,Arizona,85023,West
RW-19540,Rick Wilson,Corporate,52,US,Mesa,Arizona,85204,West
TS-21085,Thais Sissman,Consumer,21,US,Phoenix,Arizona,85023,West
GH-14425,Gary Hwang,Consumer,63,US,Tucson,Arizona,85705,West
AH-10120,Adrian Hane,Home Office,27,US,Tucson,Arizona,85705,West
BC-11125,Becky Castell,Home Office,35,US,Peoria,Arizona,85345,West
KD-16615,Ken Dana,Corporate,41,US,Scottsdale,Arizona,85254,West
BF-11275,Beth Fritzler,Corporate,21,US,Tucson,Arizona,85705,West
EM-14140,Eugene Moren,Home Office,49,US,Glendale,Arizona,85301,West
GH-14410,Gary Hansen,Home Office,42,US,Glendale,Arizona,85301,West
PF-19120,Peter Fuller,Consumer,48,US,Gilbert,Arizona,85234,West
