Customer ID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region
BH-11710,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West
ZD-21925,Zuschuss Donatelli,Consumer,66,United States,San Francisco,California,94109,West
EH-13945,Eric Hoffmann,Consumer,21,United States,Los Angeles,California,90049,West
RA-19885,Ruben Ausman,Corporate,51,United States,Los Angeles,California,90049,West
KM-16720,Kunst Miller,Consumer,69,United States,Los Angeles,California,90004,West
DN-13690,Duane Noonan,Consumer,42,United States,San Francisco,California,94122,West
JS-15685,Jim Sink,Corporate,33,United States,Los Angeles,California,90036,West
KD-16345,Katherine Ducich,Consumer,33,United States,San Francisco,California,94122,West
LS-16975,Lindsay Shagiari,Home Office,66,United States,Los Angeles,California,90004,West
LC-16885,Lena Creighton,Consumer,31,United States,Roseville,California,95661,West
SH-19975,Sally Hughsby,Corporate,60,United States,San Francisco,California,94122,West
HA-14920,Helen Andreada,Consumer,48,United States,Pasadena,California,91104,West
SP-20650,Stephanie Phelps,Corporate,18,United States,San Jose,California,95123,West
TT-21070,Ted Trevino,Consumer,67,United States,Los Angeles,California,90045,West
CS-12130,Chad Sievert,Consumer,51,United States,Los Angeles,California,90004,West
FM-14290,Frank Merwin,Home Office,45,United States,Los Angeles,California,90032,West
MZ-17515,Mary Zewe,Corporate,52,United States,Redlands,California,92374,West
LE-16810,Laurel Elliston,Consumer,62,United States,#Whittier,California,90604,West
JH-15910,Jonathan Howell,Consumer,40,United States,Los Angeles,California,90032,West
DB-13120,David Bremer,Corporate,60,United States,Santa Clara,California,95051,West
LH-17155,Logan Haushalter,Consumer,43,United States,San Francisco,California,94109,West
KC-16540,Kelly Collister,Consumer,39,United States,San Diego,California,92037,West
AH-10210,Alan Hwang,Consumer,58,United States,Brentwood,California,94513,West
KH-16690,Kristen Hastings,Corporate,36,United States,San Francisco,California,94110,West
BB-10990,Barry Blumstein,Corporate,41,United States,Inglewood,California,90301,West
JO-15280,Jas O'Carroll,Consumer,39,United States,Los Angeles,California,90004,West
FA-14230,Frank Atkinson,Corporate,34,United States,Long Beach,California,90805,West
GK-14620,Grace Kelly,Corporate,32,United States,Hesperia,California,92345,West
DB-13615,Doug Bickford,Consumer,19,United States,Los Angeles,California,90045,West
AC-10420,Alyssa Crouse,Corporate,69,United States,San Francisco,California,94122,West
CC-12550,Clay Cheatham,Consumer,42,United States,San Francisco,California,94122,West
JD-16060,Julia Dunbar,Consumer,70,United States,San Francisco,California,94109,West
AS-10285,Alejandro Savely,Corporate,53,United States,San Francisco,California,94109,West
KH-16510,Keith Herrera,Consumer,27,United States,San Francisco,California,94110,West
CJ-12010,Caroline Jumper,Consumer,64,United States,Huntington Beach,California,92646,West
PB-19150,Philip Brown,Consumer,30,United States,Los Angeles,California,90004,West
SC-20095,Sanjit Chand,Consumer,27,United States,Concord,California,94521,West
JP-15520,Jeremy Pistek,Consumer,54,United States,San Francisco,California,94110,West
XP-21865,Xylona Preis,Consumer,32,United States,San Diego,California,92024,West
MT-18070,Michelle Tran,Home Office,69,United States,Los Angeles,California,90045,West
BN-11515,Bradley Nguyen,Consumer,63,United States,Los Angeles,California,90049,West
KB-16240,Karen Bern,Corporate,42,United States,Los Angeles,California,90036,West
JC-15340,Jasper Cacioppo,Consumer,39,United States,Los Angeles,California,90032,West
BD-11320,Bill Donatelli,Consumer,68,United States,San Francisco,California,94110,West
OT-18730,Olvera Toch,Consumer,39,United States,Los Angeles,California,90045,West
LP-17080,Liz Pelletier,Consumer,22,United States,San Francisco,California,94110,West
FP-14320,Frank Preis,Consumer,20,United States,Los Angeles,California,90008,West
