Customer ID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region
LC-16870,Lena Cacioppo,Consumer,63,United States of America,Aurora,Colorado,80013,West
BS-11755,Bruce Stewart,Consumer,59,United States of America,Denver,Colorado,80219,West
KL-16555,Kelly Lampkin,Corporate,60,United States of America,Colorado Springs,Colorado,80906,West
BP-11185,Ben Peterman,Corporate,48,United States of America,Arvada,Colorado,80004,West
MY-17380,Maribeth Yedwab,Corporate,70,United States of America,Parker,Colorado,80134,West
DV-13465,Dianna Vittorini,Consumer,60,United States of America,Denver,Colorado,80219,West
FM-14380,Fred McMath,Consumer,30,United States of America,Aurora,Colorado,80013,West
ME-17725,Max Engle,Consumer,50,United States of America,Aurora,Colorado,80013,West
TZ-21580,Tracy Zic,Consumer,65,United States of America,Louisville,Colorado,80027,West
EH-14005,Erica Hernandez,Home Office,38,United States of America,Denver,Colorado,80219,West
JH-16180,Justin Hirsh,Consumer,57,United States of America,Pueblo,Colorado,81001,West
SC-20440,Shaun Chance,Corporate,28,United States of America,Aurora,Colorado,80013,West
NC-18625,Noah Childs,Corporate,48,United States of America,Aurora,Colorado,80013,West
JE-15715,Joe Elijah,Consumer,44,United States of America,Broomfield,Colorado,80020,West
BT-11440,Bobby Trafton,Consumer,20,United States of America,Littleton,Colorado,80122,West
KN-16705,Kristina Nunn,Home Office,65,United States of America,Fort Collins,Colorado,80525,West
PW-19240,Pierre Wener,Consumer,70,United States of America,Louisville,Colorado,80027,West
SV-20785,Stewart Visinsky,Consumer,34,United States of America,Pueblo,Colorado,81001,West
SR-20425,Sharelle Roach,Home Office,25,United States of America,Louisville,Colorado,80027,West
TP-21565,Tracy Poddar,Corporate,25,United States of America,Aurora,Colorado,80013,West
