Customer ID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region
AG-10270,Alejandro Grove,Consumer,18,United States,West Jordan,Utah,84084,West
EB-13870,Emily Burns,Consumer,34,United States,Orem,Utah,84057,West
RB-19705,Roger Barcio,Home Office,63,United States,Portland,Oregon,97206,West
RD-19900,Ruben Dartt,Consumer,26,United States,Carlsbad,New Mexico,88220,West
VP-21730,Victor Preis,Home Office,35,United States,Las Vegas,Nevada,89115,West
ZC-21910,Zuschuss Carroll,Consumer,61,United States,Salem,Oregon,97301,West
CK-12325,Christine Kargatis,Home Office,53,United States,Orem,Utah,84057,West
NW-18400,Natalie Webber,Consumer,29,United States,Tigard,Oregon,97224,West
RB-19645,Robert Barroso,Corporate,40,United States,North Las Vegas,Nevada,89031,West
PB-18805,Patrick Bzostek,Home Office,61,United States,Salt Lake City,Utah,84106,West
ML-18040,Michelle Lonsdale,Corporate,22,United States,Albuquerque,New Mexico,87105,West
Dp-13240,Dean percer,Home Office,64,United States,Murray,Utah,84107,West
DL-13330,Denise Leinenbach,Consumer,69,United States,Las Cruces,New Mexico,88001,West
BF-11215,Benjamin Farhat,Home Office,69,United States,Albuquerque,New Mexico,87105,West
KS-16300,Karen Seio,Corporate,53,United States,Lehi,Utah,84043,West
