Customer ID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region
IM-15070,Irene Maddox,Consumer,66,USA,Seattle,Washington,98103,West
DK-13090,Dave Kipp,Consumer,24,USA,Seattle,Washington,98103,West
NK-18490,Neil Knudson,Home Office,61,USA,Seattle,Washington,98105,West
DB-13060,Dave Brooks,Consumer,50,USA,Seattle,Washington,98115,West
MJ-17740,Max Jones,Consumer,40,USA,Seattle,Washington,98115,West
JG-15115,Jack Garza,Consumer,63,USA,Des Moines,Washington,98198,West
KC-16675,Kimberly Carter,Corporate,31,USA,Seattle,Washington,98105,West
SS-20590,Sonia Sunley,Consumer,51,USA,Seattle,Washington,98115,West
JF-15490,Jeremy Farry,Consumer,38,USA,Seattle,Washington,98105,West
EB-13840,Ellis Ballard,Corporate,25,USA,Seattle,Washington,98105,West
SF-20200,Sarah Foster,Consumer,38,USA,Marysville,Washington,98270,West
AT-10735,Annie Thurman,Consumer,30,USA,Seattle,Washington,98115,West
AR-10825,Anthony Rawles,Corporate,39,USA,Vancouver,Washington,98661,West
DS-13030,Darrin Sayre,Home Office,62,USA,Seattle,Washington,98115,West
JS-15880,John Stevenson,Consumer,60,USA,Seattle,Washington,98103,West
DW-13540,Don Weiss,Consumer,60,USA,Seattle,Washington,98105,West
HR-14830,Harold Ryan,Corporate,69,USA,Seattle,Washington,98103,West
GM-14680,Greg Matthias,Consumer,69,USA,Seattle,Washington,98105,West
JW-15220,Jane Waco,Corporate,24,USA,Vancouver,Washington,98661,West
TB-21400,Tom Boeckenhauer,Consumer,37,USA,Seattle,Washington,98105,West
EB-13750,Edward Becker,Corporate,20,USA,Seattle,Washington,98103,West
RD-19480,Rick Duston,Consumer,47,USA,Olympia,Washington,98502,West
JC-15385,Jenna Caffey,Consumer,35,USA,Kent,Washington,98031,West
CD-12280,Christina DeMoss,Consumer,42,USA,Seattle,Washington,98105,West
MM-18055,Michelle Moray,Consumer,19,USA,Seattle,Washington,98115,West
GW-14605,Giulietta Weimer,Consumer,49,USA,Seattle,Washington,98115,West
BP-11230,Benjamin Patterson,Consumer,19,USA,Spokane,Washington,99207,West
TC-20980,Tamara Chand,Corporate,29,USA,Seattle,Washington,98105,West
TP-21415,Tom Prescott,Consumer,52,USA,Seattle,Washington,98115,West
JK-15625,Jim Karlsson,Consumer,34,USA,Seattle,Washington,98115,West
RS-19420,Ricardo Sperren,Corporate,44,USA,Seattle,Washington,98115,West
SC-20380,Shahid Collister,Consumer,68,USA,Seattle,Washington,98115,West
JF-15295,Jason Fortune-,Consumer,59,USA,Seattle,Washington,98103,West
FH-14350,Fred Harton,Consumer,45,USA,Seattle,Washington,98105,West
MH-18025,Michelle Huthwaite,Consumer,40,USA,Seattle,Washington,98115,West
CS-11845,Cari Sayre,Corporate,24,USA,Seattle,Washington,98105,West
AB-10015,Aaron Bergman,Consumer,66,USA,Seattle,Washington,98103,West
ML-18265,Muhammed Lee,Consumer,51,USA,Seattle,Washington,98103,West
