Customer ID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region,Age Category
AA-10315,Alex Avila,Consumer,66,United States,Minneapolis,Minnesota,55407,Central,Old Citizen
AA-10375,Allen Armold,Consumer,22,United States,Mesa,Arizona,85204,West,Young Citizen
AA-10480,Andrew Allen,Consumer,50,United States,Concord,North Carolina,28027,South,Middle-Aged Citizen
AA-10645,Anna Andreadi,Consumer,32,United States,Chester,Pennsylvania,19013,East,Young Citizen
AB-10015,Aaron Bergman,Consumer,66,United States,Seattle,Washington,98103,West,Old Citizen
AB-10060,Adam Bellavance,Home Office,25,United States,New York City,New York,10009,East,Young Citizen
AB-10105,Adrian Barton,Consumer,63,United States,Phoenix,Arizona,85023,West,Old Citizen
AB-10150,Aimee Bixby,Consumer,65,United States,Long Beach,New York,11561,East,Old Citizen
AB-10165,Alan Barnes,Consumer,22,United States,Los Angeles,California,90036,West,Young Citizen
AB-10255,Alejandro Ballentine,Home Office,34,United States,Lorain,Ohio,44052,East,Young Citizen
AB-10600,Ann Blume,Corporate,34,United States,Tucson,Arizona,85705,West,Young Citizen
AC-10420,Alyssa Crouse,Corporate,69,United States,San Francisco,California,94122,West,Old Citizen
AC-10450,Amy Cox,Consumer,46,United States,Minneapolis,Minnesota,55407,Central,Middle-Aged Citizen
AC-10615,Ann Chong,Corporate,61,United States,New York City,New York,10009,East,Old Citizen
AC-10660,Anna Chung,Consumer,30,United States,Huntsville,Texas,77340,Central,Young Citizen
AD-10180,Alan Dominguez,Home Office,52,United States,Houston,Texas,77041,Central,Middle-Aged Citizen
AF-10870,Art Ferguson,Consumer,63,United States,College Station,Texas,77840,Central,Old Citizen
AF-10885,Art Foster,Consumer,40,United States,Louisville,Kentucky,40214,South,Middle-Aged Citizen
AG-10270,Alejandro Grove,Consumer,18,United States,West Jordan,Utah,84084,West,Young Citizen
AG-10300,Aleksandra Gannaway,Corporate,68,United States,Los Angeles,California,90049,West,Old Citizen
AG-10330,Alex Grayson,Consumer,51,United States,Stockton,California,95207,West,Middle-Aged Citizen
