CustomerID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region,Age_category
AA-10315,Alex Avila,Consumer,66,United States,Minneapolis,Minnesota,55407,Central,Senior citizen
AA-10375,Allen Armold,Consumer,22,United States,Mesa,Arizona,85204,West,Young
AA-10480,Andrew Allen,Consumer,50,United States,Concord,North Carolina,28027,South,Middle Aged
AA-10645,Anna Andreadi,Consumer,32,United States,Chester,Pennsylvania,19013,East,Middle Aged
AB-10015,Aaron Bergman,Consumer,66,United States,Seattle,Washington,98103,West,Senior citizen
AB-10060,Adam Bellavance,Home Office,25,United States,New York City,New York,10009,East,Young
AB-10105,Adrian Barton,Consumer,63,United States,Phoenix,Arizona,85023,West,Senior citizen
AB-10150,Aimee Bixby,Consumer,65,United States,Long Beach,New York,11561,East,Senior citizen
AB-10165,Alan Barnes,Consumer,22,United States,Los Angeles,California,90036,West,Young
AB-10255,Alejandro Ballentine,Home Office,34,United States,Lorain,Ohio,44052,East,Middle Aged
AB-10600,Ann Blume,Corporate,34,United States,Tucson,Arizona,85705,West,Middle Aged
AC-10420,Alyssa Crouse,Corporate,69,United States,San Francisco,California,94122,West,Senior citizen
AC-10450,Amy Cox,Consumer,46,United States,Minneapolis,Minnesota,55407,Central,Middle Aged
AC-10615,Ann Chong,Corporate,61,United States,New York City,New York,10009,East,Senior citizen
AC-10660,Anna Chung,Consumer,30,United States,Huntsville,Texas,77340,Central,Young
AD-10180,Alan Dominguez,Home Office,52,United States,Houston,Texas,77041,Central,Middle Aged
AF-10870,Art Ferguson,Consumer,63,United States,College Station,Texas,77840,Central,Senior citizen
AF-10885,Art Foster,Consumer,40,United States,Louisville,Kentucky,40214,South,Middle Aged
AG-10270,Alejandro Grove,Consumer,18,United States,West Jordan,Utah,84084,West,Young
AG-10300,Aleksandra Gannaway,Corporate,68,United States,Los Angeles,California,90049,West,Senior citizen
AG-10330,Alex Grayson,Consumer,51,United States,Stockton,California,95207,West,Middle Aged
AG-10390,Allen Goldenen,Consumer,47,United States,Cincinnati,Ohio,45231,East,Middle Aged
AG-10495,Andrew Gjertsen,Corporate,24,United States,Philadelphia,Pennsylvania,19140,East,Young
AG-10525,Andy Gerbode,Corporate,69,United States,Saint Petersburg,Florida,33710,South,Senior citizen
AG-10675,Anna Gayman,Consumer,69,United States,Houston,Texas,77036,Central,Senior citizen
AG-10765,Anthony Garverick,Home Office,40,United States,Philadelphia,Pennsylvania,19120,East,Middle Aged
AG-10900,Arthur Gainer,Consumer,56,United States,Tucson,Arizona,85705,West,Middle Aged
AH-10030,Aaron Hawkins,Corporate,60,United States,Philadelphia,Pennsylvania,19134,East,Middle Aged
AH-10075,Adam Hart,Corporate,21,United States,New York City,New York,10011,East,Young
AH-10120,Adrian Hane,Home Office,27,United States,Tucson,Arizona,85705,West,Young
AH-10195,Alan Haines,Corporate,67,United States,Tamarac,Florida,33319,South,Senior citizen
AH-10210,Alan Hwang,Consumer,58,United States,Brentwood,California,94513,West,Middle Aged
AH-10465,Amy Hunt,Consumer,24,United States,New York City,New York,10035,East,Young
AH-10585,Angele Hood,Consumer,34,United States,Chicago,Illinois,60623,Central,Middle Aged
AH-10690,Anna Haberlin,Corporate,39,United States,New York City,New York,10024,East,Middle Aged
AI-10855,Arianne Irving,Consumer,35,United States,Philadelphia,Pennsylvania,19120,East,Middle Aged
AJ-10780,Anthony Jacobs,Corporate,47,United States,Springfield,Virginia,22153,South,Middle Aged
AJ-10795,Anthony Johnson,Corporate,27,United States,Saint Petersburg,Florida,33710,South,Young
AJ-10945,Ashley Jarboe,Consumer,62,United States,Wilmington,North Carolina,28403,South,Senior citizen
AJ-10960,Astrea Jones,Consumer,30,United States,Rochester,New York,14609,East,Young
AM-10360,Alice McCarthy,Corporate,45,United States,Grand Prairie,Texas,75051,Central,Middle Aged
AM-10705,Anne McFarland,Consumer,28,United States,Auburn,Alabama,36830,South,Young
AO-10810,"Anthony O'Donnell",Corporate,66,United States,Los Angeles,California,90045,West,Senior citizen
AP-10720,Anne Pryor,Home Office,18,United States,New York City,New York,10035,East,Young
AP-10915,Arthur Prichep,Consumer,61,United States,Palm Coast,Florida,32137,South,Senior citizen
AR-10345,Alex Russell,Corporate,38,United States,Lawrence,Massachusetts,1841,East,Middle Aged
AR-10405,Allen Rosenblatt,Corporate,66,United States,Franklin,Massachusetts,2038,East,Senior citizen
AR-10510,Andrew Roberts,Consumer,58,United States,Philadelphia,Pennsylvania,19134,East,Middle Aged
AR-10540,Andy Reiter,Consumer,48,United States,New York City,New York,10024,East,Middle Aged
AR-10570,Anemone Ratner,Consumer,36,United States,Columbus,Georgia,31907,South,Middle Aged
AR-10825,Anthony Rawles,Corporate,39,United States,Vancouver,Washington,98661,West,Middle Aged
AS-10045,Aaron Smayling,Corporate,42,United States,Jacksonville,North Carolina,28540,South,Middle Aged
AS-10090,Adam Shillingsburg,Consumer,46,United States,Charlottesville,Virginia,22901,South,Middle Aged
AS-10135,Adrian Shami,Home Office,65,United States,New York City,New York,10035,East,Senior citizen
AS-10225,Alan Schoenberger,Corporate,31,United States,New York City,New York,10024,East,Middle Aged
AS-10240,Alan Shonely,Consumer,68,United States,Tampa,Florida,33614,South,Senior citizen
AS-10285,Alejandro Savely,Corporate,53,United States,San Francisco,California,94109,West,Middle Aged
AS-10630,Ann Steele,Home Office,54,United States,Pasadena,Texas,77506,Central,Middle Aged
AT-10435,Alyssa Tate,Home Office,19,United States,Los Angeles,California,90004,West,Young
AT-10735,Annie Thurman,Consumer,30,United States,Seattle,Washington,98115,West,Young
AW-10840,Anthony Witt,Consumer,37,United States,Allen,Texas,75002,Central,Middle Aged
AW-10930,Arthur Wiediger,Home Office,58,United States,Aurora,Illinois,60505,Central,Middle Aged
AY-10555,Andy Yotov,Corporate,61,United States,Oceanside,California,92054,West,Senior citizen
AZ-10750,Annie Zypern,Consumer,59,United States,New York City,New York,10009,East,Middle Aged
BB-10990,Barry Blumstein,Corporate,41,United States,Inglewood,California,90301,West,Middle Aged
BB-11545,Brenda Bowman,Corporate,60,United States,Houston,Texas,77070,Central,Middle Aged
BC-11125,Becky Castell,Home Office,35,United States,Peoria,Arizona,85345,West,Middle Aged
BD-11320,Bill Donatelli,Consumer,68,United States,San Francisco,California,94110,West,Senior citizen
